time,gFx,gFy,gFz,gFTotal
1.3870790004730225,-1.544708251953125,3.7955780029296875,-6.5516204833984375,7.728
1.396989107131958,-1.4588165283203125,3.521942138671875,-6.0732269287109375,7.171
1.4068849086761475,-1.7548828125,3.67822265625,-5.883636474609375,7.157
1.4231369495391846,-1.315216064453125,3.892364501953125,-5.98028564453125,7.256
1.4274299144744873,-1.1256866455078125,3.077178955078125,-5.4241790771484375,6.337
1.4378368854522705,-1.1361083984375,1.92529296875,-3.442596435546875,4.105
1.4463720321655273,-0.6235198974609375,0.770660400390625,-1.0923004150390625,1.475
1.457111120223999,-0.005218505859375,0.343719482421875,-0.465362548828125,0.579
1.4662048816680908,0.2358245849609375,0.21685791015625,-0.57061767578125,0.654
1.4761919975280762,0.149932861328125,-0.074493408203125,0.1185455322265625,0.205
1.4864790439605713,0.1289520263671875,-0.1032257080078125,0.1472930908203125,0.221
1.4974620342254639,0.13616943359375,-0.0822296142578125,0.0933685302734375,0.184
1.5062940120697021,0.131927490234375,-0.0781402587890625,0.0878448486328125,0.177
1.5225679874420166,0.1291046142578125,-0.0711212158203125,0.0738983154296875,0.165
1.5271151065826416,0.12725830078125,-0.06622314453125,0.0615234375,0.156
1.5367770195007324,0.126617431640625,-0.0595703125,0.05389404296875,0.15
1.5459301471710205,0.12548828125,-0.0533447265625,0.044525146484375,0.143
1.556941032409668,0.123199462890625,-0.04583740234375,0.035980224609375,0.136
1.5672709941864014,0.119842529296875,-0.0396575927734375,0.0276641845703125,0.129
1.5760128498077393,0.1169891357421875,-0.03326416015625,0.0209503173828125,0.123
1.586137056350708,0.113800048828125,-0.0265960693359375,0.017059326171875,0.118
1.5958778858184814,0.109710693359375,-0.0202178955078125,0.0131072998046875,0.112
1.6057519912719727,0.1055755615234375,-0.013916015625,0.009613037109375,0.107
1.6222741603851318,0.103057861328125,-0.0092926025390625,0.0051727294921875,0.104
1.626466989517212,0.0992889404296875,-0.004547119140625,0.0064849853515625,0.1
1.6367950439453125,0.0944671630859375,-0.0002593994140625,0.00457763671875,0.095
1.6456921100616455,0.09100341796875,0.0035552978515625,0.002777099609375,0.091
1.6565589904785156,0.086273193359375,0.00579833984375,0.0008697509765625,0.086
1.6656081676483154,0.0820159912109375,0.007598876953125,0.001617431640625,0.082
1.6755011081695557,0.0790557861328125,0.0109710693359375,0.0002899169921875,0.08
1.6857788562774658,0.074615478515625,0.0134429931640625,-0.0003662109375,0.076
1.6955070495605469,0.071533203125,0.0153045654296875,0.000640869140625,0.073
1.7055189609527588,0.0679779052734375,0.0162811279296875,0.0026092529296875,0.07
1.7227251529693604,0.065399169921875,0.0172882080078125,0.0024261474609375,0.068
1.7263569831848145,0.0614013671875,0.018402099609375,0.0046539306640625,0.064
1.7365100383758545,0.05816650390625,0.019073486328125,0.004058837890625,0.061
1.745380163192749,0.054473876953125,0.019989013671875,0.005157470703125,0.058
1.7563121318817139,0.050567626953125,0.0193023681640625,0.0071258544921875,0.055
1.7653989791870117,0.0474090576171875,0.0199127197265625,0.004913330078125,0.052
1.7750539779663086,0.0434722900390625,0.0204315185546875,0.00274658203125,0.048
1.785339117050171,0.0405731201171875,0.019927978515625,0.005401611328125,0.046
1.797379970550537,0.038787841796875,0.0183868408203125,0.0064239501953125,0.043
1.8069610595703125,0.0361480712890625,0.017608642578125,0.0074310302734375,0.041
1.8235771656036377,0.03204345703125,0.0167236328125,0.0081634521484375,0.037
1.8268890380859375,0.02984619140625,0.015411376953125,0.0077667236328125,0.034
1.8365559577941895,0.02783203125,0.0141448974609375,0.0098724365234375,0.033
1.8460149765014648,0.0246124267578125,0.0121917724609375,0.009735107421875,0.029
1.8558640480041504,0.0223236083984375,0.01019287109375,0.0110931396484375,0.027
1.8661489486694336,0.020477294921875,0.0079345703125,0.010223388671875,0.024
1.874737024307251,0.01837158203125,0.0065765380859375,0.0126800537109375,0.023
